,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,55.00%,1.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.75%,0.68%,2.31%,0.00%,0.15%,0.00%,0.00%,0.39%,0.00%,0.00%,1.43%
1,0.00%,82.29%,0.56%,0.00%,0.80%,2.46%,1.87%,0.45%,0.00%,1.36%,2.15%,2.04%,2.03%,0.00%,2.73%,0.00%,0.00%,0.45%,0.00%,1.89%,4.51%,1.15%,1.60%,5.11%,0.00%,0.00%,0.00%,0.50%,0.00%,0.29%
2,0.00%,2.40%,53.33%,0.56%,0.00%,2.13%,0.80%,0.91%,0.00%,0.00%,0.92%,0.82%,0.00%,0.00%,0.00%,0.00%,0.91%,0.91%,0.00%,0.38%,0.68%,0.38%,2.40%,0.58%,0.00%,1.50%,1.57%,0.00%,0.00%,0.00%
3,0.00%,1.98%,0.00%,56.67%,0.80%,0.98%,1.07%,2.27%,1.11%,3.64%,0.62%,0.41%,0.34%,0.00%,0.00%,0.00%,0.61%,0.91%,0.00%,0.38%,0.34%,0.00%,1.60%,1.02%,0.00%,0.50%,1.18%,1.00%,0.00%,0.00%
4,0.00%,2.60%,0.00%,0.00%,60.80%,0.16%,0.00%,2.73%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.89%,0.00%,0.00%,0.15%,0.50%,0.00%,0.00%,0.00%,0.00%,0.29%
5,0.00%,4.48%,0.00%,1.67%,2.40%,85.41%,2.13%,1.82%,0.00%,0.91%,0.00%,1.63%,0.68%,0.00%,0.00%,0.00%,1.52%,0.00%,0.00%,0.75%,0.48%,0.00%,0.53%,0.44%,0.00%,0.00%,0.00%,0.50%,0.00%,0.00%
6,0.00%,3.23%,0.00%,2.22%,1.60%,5.57%,65.07%,3.18%,0.00%,0.45%,0.31%,0.00%,0.68%,0.00%,1.36%,0.00%,0.91%,0.00%,0.00%,0.75%,1.23%,0.00%,4.53%,0.15%,0.00%,0.00%,0.78%,1.50%,0.00%,0.00%
7,0.00%,2.29%,0.00%,0.00%,2.40%,1.48%,1.60%,64.09%,0.56%,1.36%,0.00%,0.82%,1.36%,0.00%,2.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.82%,0.00%,1.07%,0.73%,0.00%,0.00%,0.00%,1.50%,0.00%,0.00%
8,0.00%,3.23%,0.00%,0.00%,0.00%,0.16%,0.53%,0.91%,46.11%,0.91%,0.00%,0.00%,5.42%,0.00%,1.82%,0.00%,0.30%,0.45%,0.00%,0.38%,1.37%,0.77%,0.00%,1.17%,0.00%,0.00%,0.00%,2.50%,0.00%,0.29%
9,0.00%,3.54%,0.00%,0.00%,0.00%,2.46%,1.07%,4.09%,0.00%,58.64%,0.31%,0.00%,1.36%,0.00%,0.00%,0.00%,0.00%,0.45%,0.00%,0.00%,0.75%,0.00%,1.07%,0.29%,0.50%,0.00%,1.57%,0.50%,0.00%,0.00%
10,0.00%,0.73%,0.00%,0.00%,0.00%,0.82%,0.00%,0.00%,0.00%,0.00%,65.23%,0.41%,0.00%,0.00%,0.00%,0.00%,0.61%,0.00%,0.00%,1.89%,4.91%,1.54%,1.07%,1.17%,0.00%,0.00%,1.18%,0.00%,0.00%,0.57%
11,0.00%,1.77%,0.00%,2.78%,0.00%,0.49%,0.00%,0.00%,0.00%,0.00%,1.23%,65.71%,1.36%,0.00%,0.45%,0.59%,0.00%,0.00%,0.00%,1.51%,1.30%,0.00%,0.53%,2.77%,0.50%,1.00%,0.00%,0.00%,0.00%,0.57%
12,0.00%,2.50%,0.00%,0.00%,0.00%,0.00%,0.80%,0.00%,3.33%,1.82%,0.00%,0.82%,69.83%,0.00%,1.36%,0.00%,0.30%,0.00%,0.00%,0.00%,0.75%,0.00%,1.07%,2.34%,0.50%,0.00%,1.96%,3.00%,0.00%,0.86%
13,0.00%,1.88%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,2.15%,0.00%,0.00%,45.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%,0.00%
14,0.00%,2.08%,0.00%,1.67%,1.60%,0.00%,3.20%,0.45%,1.11%,0.45%,0.00%,0.00%,1.69%,0.00%,56.82%,0.00%,1.82%,1.36%,0.00%,1.13%,0.75%,0.00%,4.27%,0.58%,0.00%,0.00%,1.18%,1.00%,0.00%,0.29%
15,0.00%,1.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.00%,0.00%,72.35%,0.00%,0.45%,0.00%,0.38%,1.43%,2.31%,0.00%,0.44%,0.00%,0.00%,0.39%,0.50%,0.00%,0.00%
16,0.00%,3.54%,0.00%,0.00%,0.00%,0.66%,0.80%,0.91%,0.00%,0.00%,1.23%,1.63%,0.34%,0.00%,0.45%,0.00%,70.00%,0.45%,0.00%,0.38%,1.09%,0.00%,2.13%,1.75%,0.00%,0.00%,0.39%,0.50%,0.00%,1.71%
17,0.00%,3.12%,0.00%,0.00%,0.00%,0.00%,0.27%,0.00%,0.00%,2.27%,0.00%,0.00%,0.68%,0.00%,0.00%,2.35%,0.91%,57.27%,0.00%,0.38%,1.77%,1.15%,2.13%,1.02%,1.00%,0.00%,0.00%,1.00%,0.00%,0.00%
18,0.00%,1.77%,0.00%,0.00%,0.00%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,56.00%,0.38%,0.48%,0.00%,0.00%,0.73%,0.00%,0.00%,0.78%,0.00%,0.00%,0.00%
19,0.00%,3.02%,0.56%,0.00%,0.00%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,0.41%,0.34%,0.00%,1.82%,0.00%,0.30%,1.36%,0.00%,67.55%,1.50%,0.00%,0.80%,1.90%,0.50%,0.00%,0.00%,1.50%,0.00%,0.86%
20,0.00%,3.02%,0.00%,0.00%,0.80%,0.98%,1.33%,0.00%,0.00%,0.45%,1.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,95.84%,0.38%,0.00%,1.46%,0.50%,1.00%,0.00%,0.00%,0.00%,0.00%
21,0.00%,1.98%,0.00%,0.00%,0.00%,0.33%,0.00%,0.00%,0.00%,0.91%,0.62%,0.00%,0.68%,0.00%,0.91%,0.00%,0.61%,0.45%,0.00%,0.75%,2.80%,60.00%,0.53%,2.19%,2.50%,0.00%,0.39%,0.50%,0.00%,1.43%
22,0.00%,4.79%,0.56%,0.56%,0.80%,2.30%,1.07%,1.36%,0.00%,0.00%,0.31%,1.22%,2.03%,0.00%,0.91%,0.00%,0.61%,1.82%,0.00%,1.89%,1.16%,0.38%,63.20%,3.80%,0.00%,0.00%,0.00%,0.50%,0.00%,0.00%
23,0.00%,7.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.91%,0.00%,0.00%,0.00%,2.04%,2.71%,0.00%,0.00%,0.00%,0.61%,0.00%,0.00%,1.89%,3.21%,0.00%,0.53%,78.54%,0.00%,0.50%,0.78%,0.00%,0.69%,1.14%
24,0.00%,1.35%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,1.54%,0.00%,0.34%,0.00%,0.00%,0.59%,0.30%,1.36%,0.00%,1.13%,1.37%,1.54%,0.27%,0.00%,66.00%,0.00%,0.78%,0.00%,0.00%,3.71%
25,1.25%,2.29%,0.00%,2.22%,1.60%,0.66%,0.00%,0.00%,0.00%,0.91%,1.23%,0.82%,0.00%,1.25%,0.00%,0.00%,0.61%,0.00%,0.00%,1.89%,1.77%,0.00%,0.00%,1.61%,0.50%,55.00%,0.00%,0.00%,0.00%,0.86%
26,0.00%,3.23%,0.00%,1.11%,0.00%,0.49%,0.00%,0.00%,0.00%,1.36%,0.00%,0.00%,0.00%,0.00%,0.45%,2.94%,0.30%,0.00%,0.00%,0.75%,0.48%,0.00%,0.00%,0.44%,0.00%,0.00%,76.86%,0.00%,0.00%,0.29%
27,0.00%,2.08%,0.00%,0.00%,0.00%,1.15%,0.80%,2.73%,0.00%,1.36%,0.31%,0.00%,0.68%,0.00%,0.45%,0.00%,1.52%,0.00%,1.33%,1.51%,1.16%,0.00%,0.53%,0.73%,0.00%,0.00%,0.39%,59.00%,0.00%,1.14%
28,0.00%,2.40%,0.00%,0.00%,0.00%,1.15%,0.00%,0.00%,0.00%,0.45%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.61%,0.00%,0.00%,0.00%,2.18%,0.00%,0.53%,0.00%,1.00%,0.00%,0.39%,0.00%,50.34%,0.29%
29,0.00%,1.67%,0.00%,0.00%,0.00%,0.33%,1.33%,0.00%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,1.52%,0.00%,0.00%,1.51%,2.18%,1.54%,0.80%,0.73%,0.50%,0.00%,0.00%,0.00%,0.00%,77.71%
